model,optimizer,n_features,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(256-128)_0.1,adam_lr2e-3_wd1e-5,11,"(256, 128)",0.1,0.002,1e-05,0.30768445761580215,0.6358812218210395
(256-128)_0.0,adam_lr2e-3_wd0,11,"(256, 128)",0.0,0.002,0.0,0.3116324805376822,0.6417545298072449
(256-128)_0.1,adam_lr2e-3_wd1e-4,11,"(256, 128)",0.1,0.002,0.0001,0.3205701039548506,0.6260532204132808
(256-128)_0.1,adam_lr2e-3_wd0,11,"(256, 128)",0.1,0.002,0.0,0.3285783116231885,0.6382397831718667
(256-128)_0.1,adam_lr1e-3_wd1e-5,11,"(256, 128)",0.1,0.001,1e-05,0.33168371361598636,0.6357179052512558
(256-128)_0.2,adam_lr2e-3_wd0,11,"(256, 128)",0.2,0.002,0.0,0.3322159789110485,0.6387992280500404
(256-128)_0.0,adam_lr1e-3_wd1e-4,11,"(256, 128)",0.0,0.001,0.0001,0.33259316808299016,0.6350408961278798
(256-128)_0.0,adam_lr2e-3_wd1e-5,11,"(256, 128)",0.0,0.002,1e-05,0.3341530075198726,0.6308743509878865
(256-128)_0.0,adam_lr2e-3_wd1e-3,11,"(256, 128)",0.0,0.002,0.001,0.3350021096698025,0.6325659928538342
(128-64)_0.0,adam_lr2e-3_wd1e-4,11,"(128, 64)",0.0,0.002,0.0001,0.3351929125032927,0.6311933234606795
(256-128)_0.0,adam_lr2e-3_wd1e-4,11,"(256, 128)",0.0,0.002,0.0001,0.3356482308161886,0.6459347076670202
(128-64)_0.0,adam_lr2e-3_wd1e-3,11,"(128, 64)",0.0,0.002,0.001,0.33607218401473865,0.6532431385524324
(128-64)_0.2,adam_lr2e-3_wd1e-3,11,"(128, 64)",0.2,0.002,0.001,0.3367097079753876,0.6405661071454531
(256-128)_0.2,adam_lr2e-3_wd1e-4,11,"(256, 128)",0.2,0.002,0.0001,0.3378673493862152,0.6236258763497768
(128-64)_0.1,adam_lr2e-3_wd1e-4,11,"(128, 64)",0.1,0.002,0.0001,0.33895201327507957,0.6212324695301281
(64-32-16-8)_0.0,adam_lr2e-3_wd1e-4,11,"(64, 32, 16, 8)",0.0,0.002,0.0001,0.3389760360383151,0.6788516334845287
(256-128)_0.0,adam_lr1e-3_wd1e-5,11,"(256, 128)",0.0,0.001,1e-05,0.33917430775207386,0.6533216244748918
(256-128)_0.2,adam_lr2e-3_wd1e-3,11,"(256, 128)",0.2,0.002,0.001,0.34064393033061113,0.6229198817717957
(128-64)_0.0,adam_lr2e-3_wd0,11,"(128, 64)",0.0,0.002,0.0,0.3410212564886662,0.6335988618332314
(256-128)_0.2,adam_lr2e-3_wd1e-5,11,"(256, 128)",0.2,0.002,1e-05,0.34292804410583094,0.6232799175824943
(256-128)_0.4,adam_lr2e-3_wd1e-5,11,"(256, 128)",0.4,0.002,1e-05,0.34469641614378543,0.6387732911308142
(256-128)_0.0,adam_lr1e-3_wd1e-3,11,"(256, 128)",0.0,0.001,0.001,0.34485583242617157,0.6445594624613378
(256-128)_0.1,adam_lr1e-3_wd0,11,"(256, 128)",0.1,0.001,0.0,0.3460466851267898,0.6204041503655651
(128-64)_0.0,adam_lr1e-3_wd1e-4,11,"(128, 64)",0.0,0.001,0.0001,0.346316421241091,0.636295042293615
(128-64)_0.1,adam_lr2e-3_wd1e-5,11,"(128, 64)",0.1,0.002,1e-05,0.34675497914615433,0.6234049589142916
(128-64)_0.0,adam_lr1e-3_wd0,11,"(128, 64)",0.0,0.001,0.0,0.3472400924615693,0.6307470414970342
(128-64)_0.1,adam_lr2e-3_wd0,11,"(128, 64)",0.1,0.002,0.0,0.3476162490091826,0.6449479152756677
(256-128)_0.1,adam_lr1e-3_wd1e-3,11,"(256, 128)",0.1,0.001,0.001,0.34769103610724733,0.6390878224457843
(64-32-16)_0.0,adam_lr2e-3_wd0,11,"(64, 32, 16)",0.0,0.002,0.0,0.3500411526152962,0.6756565666365448
(256-128)_0.2,adam_lr1e-3_wd1e-5,11,"(256, 128)",0.2,0.001,1e-05,0.350082665681839,0.629626928797757
(64-32-16-8)_0.0,adam_lr1e-3_wd1e-5,11,"(64, 32, 16, 8)",0.0,0.001,1e-05,0.35069537267350315,0.6343129697773259
(256-128)_0.2,adam_lr1e-3_wd0,11,"(256, 128)",0.2,0.001,0.0,0.3511834871350673,0.6260630434212394
(64-32)_0.0,adam_lr2e-3_wd1e-3,11,"(64, 32)",0.0,0.002,0.001,0.3532668305070777,0.6543235633749146
(64-32)_0.0,adam_lr1e-3_wd1e-4,11,"(64, 32)",0.0,0.001,0.0001,0.35425247800977605,0.6690612591760491
(64-32)_0.0,adam_lr2e-3_wd1e-4,11,"(64, 32)",0.0,0.002,0.0001,0.35479229897783515,0.6400895726033287
(256-128)_0.1,adam_lr2e-3_wd1e-3,11,"(256, 128)",0.1,0.002,0.001,0.35620183902874325,0.6161664512618857
(256-128)_0.4,adam_lr2e-3_wd1e-3,11,"(256, 128)",0.4,0.002,0.001,0.3562524010214889,0.6375441619653411
(256-128)_0.1,adam_lr1e-3_wd1e-4,11,"(256, 128)",0.1,0.001,0.0001,0.3575469020165895,0.630424861306229
(256-128)_0.2,adam_lr1e-3_wd1e-4,11,"(256, 128)",0.2,0.001,0.0001,0.3580034129452287,0.6371799600631226
(64-32-16)_0.0,adam_lr2e-3_wd1e-5,11,"(64, 32, 16)",0.0,0.002,1e-05,0.3615032800456934,0.6428133669422019
(64-32-16-8)_0.0,adam_lr2e-3_wd1e-3,7,"(64, 32, 16, 8)",0.0,0.002,0.001,0.3625490571323194,0.6424970888037337
(64-32-16-8)_0.0,adam_lr2e-3_wd1e-5,11,"(64, 32, 16, 8)",0.0,0.002,1e-05,0.36299218106688114,0.6718843658072191
(64-32-16-8)_0.0,adam_lr2e-3_wd0,11,"(64, 32, 16, 8)",0.0,0.002,0.0,0.3656238050837266,0.6432137520654311
(256-128)_0.4,adam_lr2e-3_wd0,11,"(256, 128)",0.4,0.002,0.0,0.3672074471649371,0.6475057058737725
(256-128)_0.2,adam_lr1e-3_wd1e-3,11,"(256, 128)",0.2,0.001,0.001,0.36836794489308405,0.6175458668600822
(32-16)_0.0,adam_lr2e-3_wd1e-3,11,"(32, 16)",0.0,0.002,0.001,0.36930559915408756,0.653508473764157
(256-128)_0.2,adam_lr5e-4_wd1e-3,11,"(256, 128)",0.2,0.0005,0.001,0.3698847523906775,0.6247145651973165
(128-64)_0.2,adam_lr2e-3_wd1e-4,11,"(128, 64)",0.2,0.002,0.0001,0.3700124793931058,0.66690741535803
(64-32)_0.0,adam_lr2e-3_wd1e-5,11,"(64, 32)",0.0,0.002,1e-05,0.3708337942759196,0.6500881228228262
(64-32-16-8)_0.2,adam_lr2e-3_wd1e-4,11,"(64, 32, 16, 8)",0.2,0.002,0.0001,0.3711945445914018,0.658775261450551
(128-64)_0.1,adam_lr1e-3_wd1e-4,11,"(128, 64)",0.1,0.001,0.0001,0.3712490200996399,0.6353699609653088
(128-64)_0.0,adam_lr1e-3_wd1e-5,11,"(128, 64)",0.0,0.001,1e-05,0.3712971550330781,0.6633786763118975
(128-64)_0.1,adam_lr1e-3_wd1e-3,11,"(128, 64)",0.1,0.001,0.001,0.3715455129481198,0.6376970345595605
(256-128)_0.1,adam_lr5e-4_wd0,11,"(256, 128)",0.1,0.0005,0.0,0.37173163995408176,0.6490026380251236
(256-128)_0.4,adam_lr2e-3_wd1e-4,11,"(256, 128)",0.4,0.002,0.0001,0.37187121730101735,0.6295266670263507
(256-128)_0.1,adam_lr5e-4_wd1e-3,11,"(256, 128)",0.1,0.0005,0.001,0.3725674659536596,0.6404923753803448
(256-128)_0.4,adam_lr1e-3_wd1e-3,11,"(256, 128)",0.4,0.001,0.001,0.37279808782694634,0.640227596041546
(64-32-16)_0.2,adam_lr2e-3_wd1e-5,11,"(64, 32, 16)",0.2,0.002,1e-05,0.3754733905457614,0.6718161631434394
(128-64)_0.0,adam_lr5e-4_wd0,11,"(128, 64)",0.0,0.0005,0.0,0.3756506239113055,0.6388046120626284
(64-32-16-8)_0.0,adam_lr2e-3_wd1e-3,11,"(64, 32, 16, 8)",0.0,0.002,0.001,0.3758685442439297,0.6630912312048817
(64-32-16)_0.1,adam_lr2e-3_wd0,11,"(64, 32, 16)",0.1,0.002,0.0,0.37617311561316774,0.650487651627815
(256-128)_0.2,adam_lr5e-4_wd1e-5,11,"(256, 128)",0.2,0.0005,1e-05,0.3763316247546882,0.6404641557312206
(64-32)_0.1,adam_lr2e-3_wd1e-3,11,"(64, 32)",0.1,0.002,0.001,0.3773666662082337,0.6429630061031131
(64-32)_0.1,adam_lr1e-3_wd0,11,"(64, 32)",0.1,0.001,0.0,0.37757967386329383,0.6551918710171764
(256-128)_0.0,adam_lr1e-3_wd0,11,"(256, 128)",0.0,0.001,0.0,0.3781735091878657,0.6258340157457445
(64-32)_0.2,adam_lr2e-3_wd0,11,"(64, 32)",0.2,0.002,0.0,0.37825376370496916,0.6469120498572118
(64-32)_0.2,adam_lr2e-3_wd1e-5,11,"(64, 32)",0.2,0.002,1e-05,0.3801032435475734,0.6483918449191746
(128-64)_0.1,adam_lr2e-3_wd1e-3,11,"(128, 64)",0.1,0.002,0.001,0.38055441567772313,0.6417451595966315
(256-128)_0.0,adam_lr5e-4_wd1e-4,11,"(256, 128)",0.0,0.0005,0.0001,0.3806921018843065,0.6391117394497604
(128-64)_0.4,adam_lr2e-3_wd0,11,"(128, 64)",0.4,0.002,0.0,0.3811781568485394,0.6268895283994482
(64-32-16)_0.1,adam_lr2e-3_wd1e-3,11,"(64, 32, 16)",0.1,0.002,0.001,0.3814431021088048,0.6407372769684496
(128-64)_0.2,adam_lr2e-3_wd0,11,"(128, 64)",0.2,0.002,0.0,0.3821877800581748,0.6401083133826936
(64-32-16)_0.0,adam_lr2e-3_wd1e-4,11,"(64, 32, 16)",0.0,0.002,0.0001,0.3827381484341203,0.6794995251497796
(64-32-16)_0.2,adam_lr2e-3_wd0,11,"(64, 32, 16)",0.2,0.002,0.0,0.38291519305162264,0.6605210448760225
(64-32-16)_0.0,adam_lr1e-3_wd1e-4,11,"(64, 32, 16)",0.0,0.001,0.0001,0.383826754595104,0.6269139035390862
(128-64)_0.0,adam_lr5e-4_wd1e-5,11,"(128, 64)",0.0,0.0005,1e-05,0.3841554590484552,0.6467572633290521
(64-32)_0.1,adam_lr2e-3_wd1e-5,11,"(64, 32)",0.1,0.002,1e-05,0.3845805165014769,0.6432606895783451
(256-128)_0.0,adam_lr5e-4_wd0,11,"(256, 128)",0.0,0.0005,0.0,0.38478391682892515,0.643698032676046
(256-128)_0.1,adam_lr5e-4_wd1e-5,11,"(256, 128)",0.1,0.0005,1e-05,0.3849351176044397,0.6299532775241246
(128-64)_0.4,adam_lr2e-3_wd1e-3,11,"(128, 64)",0.4,0.002,0.001,0.3854129685644518,0.6467417773895398
(32-16)_0.0,adam_lr1e-3_wd0,11,"(32, 16)",0.0,0.001,0.0,0.3874509930610657,0.6794944540510148
(128-64)_0.2,adam_lr2e-3_wd1e-5,11,"(128, 64)",0.2,0.002,1e-05,0.38779840814439875,0.6215455358288556
(64-32)_0.0,adam_lr2e-3_wd0,11,"(64, 32)",0.0,0.002,0.0,0.3884520635270236,0.653329968295878
(256-128)_0.2,adam_lr5e-4_wd0,11,"(256, 128)",0.2,0.0005,0.0,0.3886780597661671,0.6339455523355283
(128-64)_0.1,adam_lr1e-3_wd0,11,"(128, 64)",0.1,0.001,0.0,0.38874763041211846,0.635031939008243
(64-32-16)_0.0,adam_lr1e-3_wd0,11,"(64, 32, 16)",0.0,0.001,0.0,0.38934135175587836,0.6806206051170606
(256-128)_0.0,adam_lr5e-4_wd1e-3,11,"(256, 128)",0.0,0.0005,0.001,0.3906581668477309,0.63546072899345
(128-64)_0.0,adam_lr2e-3_wd1e-5,11,"(128, 64)",0.0,0.002,1e-05,0.39106057610428124,0.6549573867899718
(256-128)_0.0,adam_lr5e-4_wd1e-5,11,"(256, 128)",0.0,0.0005,1e-05,0.39170275550139577,0.6325165972570005
(64-32)_0.1,adam_lr2e-3_wd1e-4,11,"(64, 32)",0.1,0.002,0.0001,0.39270984917356255,0.6469807048293842
(128-64)_0.2,adam_lr1e-3_wd1e-5,11,"(128, 64)",0.2,0.001,1e-05,0.39319192265209396,0.649478122710387
(128-64)_0.2,adam_lr1e-3_wd1e-4,11,"(128, 64)",0.2,0.001,0.0001,0.3932570302695559,0.6463055101533935
(128-64)_0.1,adam_lr5e-4_wd1e-4,11,"(128, 64)",0.1,0.0005,0.0001,0.39447577376114695,0.6793376603734246
(256-128)_0.2,adam_lr5e-4_wd1e-4,11,"(256, 128)",0.2,0.0005,0.0001,0.3947165148300037,0.641267393726418
(32-16)_0.0,adam_lr2e-3_wd1e-3,7,"(32, 16)",0.0,0.002,0.001,0.39501677270521196,0.654122948424772
(64-32-16)_0.0,adam_lr1e-3_wd1e-3,11,"(64, 32, 16)",0.0,0.001,0.001,0.39563480437847603,0.6379360507301888
(32-16)_0.0,adam_lr1e-3_wd0,7,"(32, 16)",0.0,0.001,0.0,0.3956748879792398,0.6509216224899617
(64-32-16)_0.1,adam_lr2e-3_wd1e-4,11,"(64, 32, 16)",0.1,0.002,0.0001,0.39584011257740487,0.6373624987094004
(64-32-16-8)_0.0,adam_lr5e-4_wd1e-5,11,"(64, 32, 16, 8)",0.0,0.0005,1e-05,0.39601451053954007,0.6622330543591766
(128-64)_0.0,adam_lr5e-4_wd1e-3,11,"(128, 64)",0.0,0.0005,0.001,0.39630394598893953,0.6524668584579442
(256-128)_0.1,adam_lr5e-4_wd1e-4,11,"(256, 128)",0.1,0.0005,0.0001,0.396407473505589,0.6436377162519004
(128-64)_0.2,adam_lr1e-3_wd1e-3,11,"(128, 64)",0.2,0.001,0.001,0.3964957746497372,0.6519292100754546
(64-32)_0.0,adam_lr2e-3_wd1e-5,7,"(64, 32)",0.0,0.002,1e-05,0.39749743959359957,0.6564196021913546
(64-32-16)_0.1,adam_lr1e-3_wd0,11,"(64, 32, 16)",0.1,0.001,0.0,0.39844594451419096,0.6817369340983901
(128-64)_0.2,adam_lr1e-3_wd0,11,"(128, 64)",0.2,0.001,0.0,0.39892330399730747,0.619872876302216
(64-32-16-8)_0.0,adam_lr1e-3_wd1e-4,11,"(64, 32, 16, 8)",0.0,0.001,0.0001,0.39996339720592167,0.6646857362961115
(128-64)_0.4,adam_lr2e-3_wd1e-4,11,"(128, 64)",0.4,0.002,0.0001,0.4002109624837574,0.6637974288575712
(64-32)_0.0,adam_lr1e-3_wd1e-5,11,"(64, 32)",0.0,0.001,1e-05,0.4006136310727973,0.6431163604094123
(32-16)_0.0,adam_lr2e-3_wd0,11,"(32, 16)",0.0,0.002,0.0,0.4010351906742966,0.6853806775122474
(64-32)_0.0,adam_lr1e-3_wd0,11,"(64, 32)",0.0,0.001,0.0,0.4014130982390621,0.658126497046856
(64-32-16-8)_0.1,adam_lr2e-3_wd1e-3,11,"(64, 32, 16, 8)",0.1,0.002,0.001,0.4016845372685215,0.6389831151811817
(64-32-16)_0.2,adam_lr2e-3_wd1e-3,11,"(64, 32, 16)",0.2,0.002,0.001,0.40236046492007743,0.6953600369198839
(64-32)_0.2,adam_lr2e-3_wd1e-3,11,"(64, 32)",0.2,0.002,0.001,0.4024542444630673,0.6639012006686118
(256-128)_0.0,adam_lr2e-3_wd1e-5,7,"(256, 128)",0.0,0.002,1e-05,0.40260679575434904,0.6460877749703899
(64-32-16)_0.0,adam_lr1e-3_wd1e-5,11,"(64, 32, 16)",0.0,0.001,1e-05,0.40261326024406835,0.6249450300755738
(128-64)_0.4,adam_lr2e-3_wd1e-5,11,"(128, 64)",0.4,0.002,1e-05,0.40273311054497435,0.6683003797068602
(256-128)_0.4,adam_lr1e-3_wd1e-5,11,"(256, 128)",0.4,0.001,1e-05,0.4029262442337839,0.6434508106256445
(128-64)_0.1,adam_lr5e-4_wd1e-5,11,"(128, 64)",0.1,0.0005,1e-05,0.4032344823343712,0.6448555160054907
(64-32-16)_0.0,adam_lr2e-3_wd1e-3,11,"(64, 32, 16)",0.0,0.002,0.001,0.4035202881746125,0.6210922460248355
(32-16)_0.0,adam_lr1e-3_wd1e-3,11,"(32, 16)",0.0,0.001,0.001,0.40435564622544407,0.6736200797245163
(64-32)_0.1,adam_lr2e-3_wd0,11,"(64, 32)",0.1,0.002,0.0,0.40511020756604377,0.6578466886164925
(64-32-16-8)_0.2,adam_lr2e-3_wd0,11,"(64, 32, 16, 8)",0.2,0.002,0.0,0.40522719475260954,0.6337833525162196
(256-128)_0.0,adam_lr2e-3_wd0,7,"(256, 128)",0.0,0.002,0.0,0.4057686778537014,0.646158575583553
(64-32)_0.0,adam_lr1e-3_wd0,7,"(64, 32)",0.0,0.001,0.0,0.4065839172455302,0.6460550656336348
(64-32)_0.0,adam_lr1e-3_wd1e-3,7,"(64, 32)",0.0,0.001,0.001,0.4071218245907834,0.6492143203216194
(256-128)_0.0,adam_lr5e-4_wd1e-5,7,"(256, 128)",0.0,0.0005,1e-05,0.4073301443928166,0.6739811362632736
(128-64)_0.0,adam_lr5e-4_wd1e-4,11,"(128, 64)",0.0,0.0005,0.0001,0.407446832510463,0.6436743398336041
(64-32-16)_0.0,adam_lr1e-3_wd1e-5,7,"(64, 32, 16)",0.0,0.001,1e-05,0.40796742784349543,0.6611873628457867
(64-32-16-8)_0.1,adam_lr2e-3_wd0,11,"(64, 32, 16, 8)",0.1,0.002,0.0,0.40839823766758565,0.6359835978107728
(64-32-16)_0.0,adam_lr2e-3_wd1e-3,7,"(64, 32, 16)",0.0,0.002,0.001,0.40881442448549105,0.655863115935322
(256-128)_0.2,adam_lr2e-3_wd1e-4,7,"(256, 128)",0.2,0.002,0.0001,0.4089325326576568,0.6303680675763997
(64-32-16)_0.2,adam_lr2e-3_wd0,7,"(64, 32, 16)",0.2,0.002,0.0,0.40936940437869024,0.6705773457157739
(64-32)_0.1,adam_lr1e-3_wd1e-4,11,"(64, 32)",0.1,0.001,0.0001,0.4094019160981764,0.6504464141112349
(64-32)_0.1,adam_lr2e-3_wd1e-5,7,"(64, 32)",0.1,0.002,1e-05,0.40956992799775643,0.6676812063940502
(64-32-16)_0.1,adam_lr1e-3_wd1e-5,11,"(64, 32, 16)",0.1,0.001,1e-05,0.40986310912851703,0.6478652035230033
(256-128)_0.2,adam_lr2e-3_wd0,7,"(256, 128)",0.2,0.002,0.0,0.4105054725680435,0.6389176723362857
(64-32-16-8)_0.0,adam_lr1e-3_wd0,11,"(64, 32, 16, 8)",0.0,0.001,0.0,0.4107081273145843,0.6376739667030857
(128-64)_0.4,adam_lr1e-3_wd1e-4,11,"(128, 64)",0.4,0.001,0.0001,0.41073663245167646,0.6469039583604985
(256-128)_0.0,adam_lr5e-4_wd0,7,"(256, 128)",0.0,0.0005,0.0,0.41078341320941325,0.6677831698963804
(256-128)_0.4,adam_lr1e-3_wd1e-4,11,"(256, 128)",0.4,0.001,0.0001,0.4110325642845087,0.6134304573976093
(64-32)_0.2,adam_lr2e-3_wd1e-4,11,"(64, 32)",0.2,0.002,0.0001,0.41161791117567764,0.65318980949886
(64-32-16-8)_0.1,adam_lr2e-3_wd1e-5,7,"(64, 32, 16, 8)",0.1,0.002,1e-05,0.41184007494073166,0.6783464301446878
(64-32)_0.0,adam_lr2e-3_wd1e-4,7,"(64, 32)",0.0,0.002,0.0001,0.4119150659494233,0.6764087575480013
(64-32)_0.0,adam_lr2e-3_wd0,7,"(64, 32)",0.0,0.002,0.0,0.41257966505853755,0.6681767690449645
(32-16)_0.0,adam_lr2e-3_wd1e-5,7,"(32, 16)",0.0,0.002,1e-05,0.4128832529511368,0.6429027757094659
(64-32)_0.1,adam_lr1e-3_wd1e-5,11,"(64, 32)",0.1,0.001,1e-05,0.41300233362013833,0.6503110190162016
(64-32)_0.1,adam_lr1e-3_wd1e-4,7,"(64, 32)",0.1,0.001,0.0001,0.4135297630962573,0.651099853679659
(128-64)_0.1,adam_lr2e-3_wd1e-4,7,"(128, 64)",0.1,0.002,0.0001,0.4152868327341582,0.6425989792137973
(32-16)_0.0,adam_lr2e-3_wd1e-4,11,"(32, 16)",0.0,0.002,0.0001,0.4154065659171657,0.6350242623676573
(64-32-16-8)_0.1,adam_lr2e-3_wd0,7,"(64, 32, 16, 8)",0.1,0.002,0.0,0.41593262291791144,0.6692261005171377
(128-64)_0.0,adam_lr2e-3_wd0,7,"(128, 64)",0.0,0.002,0.0,0.41597618502483036,0.6302292411964728
(64-32)_0.0,adam_lr5e-4_wd0,11,"(64, 32)",0.0,0.0005,0.0,0.415985212514275,0.6439784811555921
(64-32-16)_0.1,adam_lr2e-3_wd1e-5,11,"(64, 32, 16)",0.1,0.002,1e-05,0.41620014058916194,0.6207256472855041
(256-128)_0.0,adam_lr2e-3_wd1e-3,7,"(256, 128)",0.0,0.002,0.001,0.4163578440222824,0.6592915467030679
(64-32)_0.0,adam_lr1e-3_wd1e-3,11,"(64, 32)",0.0,0.001,0.001,0.41669916008648117,0.6360849076191465
(64-32)_0.0,adam_lr5e-4_wd1e-3,11,"(64, 32)",0.0,0.0005,0.001,0.4169736975117734,0.6743416126854297
(128-64)_0.1,adam_lr1e-3_wd1e-3,7,"(128, 64)",0.1,0.001,0.001,0.41705343754667984,0.6498514961441321
(256-128)_0.2,adam_lr1e-3_wd1e-4,7,"(256, 128)",0.2,0.001,0.0001,0.41732193660317807,0.6477800032255354
(128-64)_0.0,adam_lr1e-3_wd1e-3,11,"(128, 64)",0.0,0.001,0.001,0.4176607048302366,0.6417422926579784
(32-16)_0.0,adam_lr1e-3_wd1e-4,11,"(32, 16)",0.0,0.001,0.0001,0.41807140854367036,0.6600817917821947
(64-32)_0.2,adam_lr1e-3_wd0,11,"(64, 32)",0.2,0.001,0.0,0.4183325140099776,0.6734256196510972
(256-128)_0.4,adam_lr1e-3_wd0,11,"(256, 128)",0.4,0.001,0.0,0.41834458551908793,0.6168490254851354
(64-32-16-8)_0.1,adam_lr2e-3_wd1e-4,11,"(64, 32, 16, 8)",0.1,0.002,0.0001,0.41866970428249295,0.6529856641320191
(256-128)_0.1,adam_lr2e-3_wd1e-3,7,"(256, 128)",0.1,0.002,0.001,0.4187963505585988,0.6297313481076696
(256-128)_0.2,adam_lr5e-4_wd0,7,"(256, 128)",0.2,0.0005,0.0,0.4188875728531888,0.6215678194999025
(64-32-16)_0.0,adam_lr1e-3_wd1e-3,7,"(64, 32, 16)",0.0,0.001,0.001,0.4189333058240121,0.6487194619233939
(64-32-16-8)_0.0,adam_lr1e-3_wd1e-3,7,"(64, 32, 16, 8)",0.0,0.001,0.001,0.4189593839017968,0.6969367146660542
(128-64)_0.1,adam_lr2e-3_wd1e-3,7,"(128, 64)",0.1,0.002,0.001,0.41905458140791507,0.6675824308861863
(256-128)_0.4,adam_lr2e-3_wd1e-5,7,"(256, 128)",0.4,0.002,1e-05,0.4191558125771974,0.6466990571539191
(256-128)_0.1,adam_lr1e-3_wd1e-4,7,"(256, 128)",0.1,0.001,0.0001,0.41954541833777176,0.6220502958878084
(128-64)_0.4,adam_lr2e-3_wd1e-3,7,"(128, 64)",0.4,0.002,0.001,0.4197414773598052,0.6520779579431367
(128-64)_0.1,adam_lr5e-4_wd1e-3,11,"(128, 64)",0.1,0.0005,0.001,0.4203710749483945,0.6441423336908291
(128-64)_0.0,adam_lr1e-3_wd1e-3,7,"(128, 64)",0.0,0.001,0.001,0.42043982158627424,0.6480993799109779
(64-32-16)_0.1,adam_lr2e-3_wd1e-5,7,"(64, 32, 16)",0.1,0.002,1e-05,0.4207302499235722,0.6800310066597958
(64-32-16-8)_0.2,adam_lr2e-3_wd1e-3,11,"(64, 32, 16, 8)",0.2,0.002,0.001,0.4209528288297486,0.6898865663330324
(64-32-16-8)_0.0,adam_lr1e-3_wd1e-3,11,"(64, 32, 16, 8)",0.0,0.001,0.001,0.42273935257342826,0.6504200951722693
(256-128)_0.4,adam_lr2e-3_wd1e-4,7,"(256, 128)",0.4,0.002,0.0001,0.4228529135386149,0.6515590279042875
(64-32-16-8)_0.1,adam_lr2e-3_wd1e-5,11,"(64, 32, 16, 8)",0.1,0.002,1e-05,0.4229109151321545,0.6457063872958967
(64-32-16-8)_0.0,adam_lr2e-3_wd0,7,"(64, 32, 16, 8)",0.0,0.002,0.0,0.4230373486092216,0.6643699796590635
(64-32-16-8)_0.1,adam_lr1e-3_wd1e-4,11,"(64, 32, 16, 8)",0.1,0.001,0.0001,0.4237763055583887,0.6236197024238597
(64-32-16-8)_0.0,adam_lr1e-3_wd0,7,"(64, 32, 16, 8)",0.0,0.001,0.0,0.4238439296421252,0.6906986255864738
(256-128)_0.0,adam_lr1e-3_wd1e-5,7,"(256, 128)",0.0,0.001,1e-05,0.42393811386928226,0.6335083533112307
(128-64)_0.1,adam_lr2e-3_wd0,7,"(128, 64)",0.1,0.002,0.0,0.4240626572516927,0.6564718410533629
(128-64)_0.2,adam_lr5e-4_wd1e-4,11,"(128, 64)",0.2,0.0005,0.0001,0.4245131669337289,0.6599710505498112
(256-128)_0.0,adam_lr2e-3_wd1e-4,7,"(256, 128)",0.0,0.002,0.0001,0.4246554840029332,0.6352560057514709
(64-32)_0.0,adam_lr5e-4_wd1e-5,11,"(64, 32)",0.0,0.0005,1e-05,0.42469432427172077,0.6667882602831134
(32-16)_0.0,adam_lr2e-3_wd0,7,"(32, 16)",0.0,0.002,0.0,0.424717364604013,0.6544401473635337
(32-16)_0.0,adam_lr1e-3_wd1e-3,7,"(32, 16)",0.0,0.001,0.001,0.42507798473040265,0.6740903639979474
(64-32-16-8)_0.0,adam_lr1e-3_wd1e-5,7,"(64, 32, 16, 8)",0.0,0.001,1e-05,0.4260840426411545,0.6383324314369011
(64-32-16)_0.1,adam_lr2e-3_wd0,7,"(64, 32, 16)",0.1,0.002,0.0,0.4270865478013691,0.6471939437991012
(64-32)_0.0,adam_lr1e-3_wd1e-5,7,"(64, 32)",0.0,0.001,1e-05,0.4275386929512024,0.679839015622216
(64-32-16-8)_0.0,adam_lr5e-4_wd1e-4,11,"(64, 32, 16, 8)",0.0,0.0005,0.0001,0.42861393616910565,0.6616005939237507
(64-32-16)_0.0,adam_lr5e-4_wd0,11,"(64, 32, 16)",0.0,0.0005,0.0,0.42870712698551644,0.6469877923911336
(256-128)_0.2,adam_lr2e-3_wd1e-3,7,"(256, 128)",0.2,0.002,0.001,0.42906043194887933,0.6174235518687053
(64-32-16)_0.1,adam_lr1e-3_wd1e-4,11,"(64, 32, 16)",0.1,0.001,0.0001,0.4290929781763177,0.6570339655823738
(256-128)_0.1,adam_lr1e-3_wd1e-3,7,"(256, 128)",0.1,0.001,0.001,0.42910043921386987,0.6443682391829874
(64-32-16-8)_0.1,adam_lr1e-3_wd0,11,"(64, 32, 16, 8)",0.1,0.001,0.0,0.4295382677463063,0.6678604053627704
(64-32-16-8)_0.2,adam_lr2e-3_wd1e-4,7,"(64, 32, 16, 8)",0.2,0.002,0.0001,0.429878303356338,0.6843647495431378
(128-64)_0.2,adam_lr5e-4_wd1e-3,11,"(128, 64)",0.2,0.0005,0.001,0.4302924432252583,0.6490294057475852
(128-64)_0.0,adam_lr2e-3_wd1e-3,7,"(128, 64)",0.0,0.002,0.001,0.43052012669412715,0.6194704823370243
(128-64)_0.1,adam_lr1e-3_wd1e-4,7,"(128, 64)",0.1,0.001,0.0001,0.4309250864020565,0.6528011868375274
(64-32-16-8)_0.0,adam_lr5e-4_wd0,7,"(64, 32, 16, 8)",0.0,0.0005,0.0,0.4309627277809277,0.6860685645115239
(256-128)_0.0,adam_lr5e-4_wd1e-3,7,"(256, 128)",0.0,0.0005,0.001,0.431391284654015,0.669698342190628
