model,optimizer,n_features,hidden,dropout,lr,weight_decay,best_val_mse,test_rmse
(128-64)_0.2,adam_lr1e-3_wd1e-5,7,"(128, 64)",0.2,0.001,1e-05,0.4723601780439678,0.6626212426884718
(64-32-16-8)_0.1,adam_lr5e-4_wd0,11,"(64, 32, 16, 8)",0.1,0.0005,0.0,0.4731357714586091,0.6961893967440443
(64-32-16)_0.2,adam_lr1e-3_wd1e-4,7,"(64, 32, 16)",0.2,0.001,0.0001,0.4732290966468945,0.6801833874083005
(32-16)_0.1,adam_lr1e-3_wd1e-5,11,"(32, 16)",0.1,0.001,1e-05,0.4732627826824523,0.6796366213581814
(32-16)_0.0,adam_lr1e-3_wd1e-5,7,"(32, 16)",0.0,0.001,1e-05,0.4735836062514991,0.6772083917584742
(64-32)_0.4,adam_lr2e-3_wd0,11,"(64, 32)",0.4,0.002,0.0,0.47385251312925103,0.7027770830074576
(128-64)_0.1,adam_lr5e-4_wd0,7,"(128, 64)",0.1,0.0005,0.0,0.4738690413926777,0.6718266939361228
(128-64)_0.4,adam_lr5e-4_wd1e-5,11,"(128, 64)",0.4,0.0005,1e-05,0.47461542016581487,0.6831304318757488
(128-64)_0.4,adam_lr1e-3_wd0,7,"(128, 64)",0.4,0.001,0.0,0.47480303362796183,0.6896163298088629
(128-64)_0.4,adam_lr1e-3_wd1e-5,7,"(128, 64)",0.4,0.001,1e-05,0.4751706823968051,0.6892998780775014
(128-64)_0.4,adam_lr1e-3_wd1e-5,11,"(128, 64)",0.4,0.001,1e-05,0.47551889273158293,0.6798614113603582
(32-16)_0.2,adam_lr2e-3_wd0,7,"(32, 16)",0.2,0.002,0.0,0.47591778269985263,0.718224941208799
(64-32)_0.4,adam_lr2e-3_wd1e-4,7,"(64, 32)",0.4,0.002,0.0001,0.47604859711831077,0.7134388508878617
(64-32-16)_0.2,adam_lr1e-3_wd0,11,"(64, 32, 16)",0.2,0.001,0.0,0.47678231356436745,0.6791777325776139
(32-16)_0.2,adam_lr2e-3_wd0,11,"(32, 16)",0.2,0.002,0.0,0.47689957054037796,0.6707485620876744
(64-32-16-8)_0.0,adam_lr5e-4_wd1e-3,7,"(64, 32, 16, 8)",0.0,0.0005,0.001,0.47855559357425625,0.6996559071843246
(32-16)_0.1,adam_lr1e-3_wd1e-4,11,"(32, 16)",0.1,0.001,0.0001,0.478644845778482,0.6925923375785741
(64-32-16-8)_0.0,adam_lr5e-4_wd1e-5,7,"(64, 32, 16, 8)",0.0,0.0005,1e-05,0.4786574401353535,0.6791570031560643
